Name,Education
Peter Woo,"Master of Business Administration, Columbia Business School"
Chen Bang,"Master of Business Administration, Hunan University"
Andrey Melnichenko,"Master of Science, Plekhanov Russian University of Economics"
Dustin Moskovitz,"Drop Out, Harvard University"
Su Hua,"Bachelor of Science, Tsinghua University"
Donald Newhouse,"Drop Out, Syracuse University"
Petr Kellner,"Bachelor of Arts/Science, University of Economics in Prague"
Lee Man Tat,
Pavel Durov,"Master of Science, Saint Petersburg State University"
James Ratcliffe,
Jorge Paulo Lemann & family,"Bachelor of Arts/Science, Harvard University"
Reinhold Wuerth & family,
Charlene de Carvalho-Heineken & family,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden"
Radhakishan Damani,
Wang Chuanfu,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology"
Steve Cohen,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Ken Griffin,"Bachelor of Arts/Science, Harvard University"
Chen Zhiping,"Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University"
"Ernest Garcia, II.","Bachelor of Science, Stanford University"
Uday Kotak,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, University of Bombay"
Carl Icahn,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University"
Suleiman Kerimov & family,"Bachelor of Arts/Science, Dagestan State University"
"Thomas Frist, Jr. & family","Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University"
Lukas Walton,"Bachelor of Arts/Science, Colorado College"
Mikhail Fridman,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"
Wei Jianjun & family,"Bachelor of Arts/Science, Hebei Province"
Zuo Hui,
Zhou Qunfei & family,
Donald Bren,"Bachelor of Arts/Science, University of Washington"
Hinduja brothers,
Lakshmi Mittal,"Bachelor of Arts/Science, St Xavier's College Calcutta"
Georg Schaeffler,
Eric Yuan & family,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology"
Wang Jianlin,Liaoning University
Kwong Siu-hing,
Robin Li,"Bachelor of Arts/Science, Peking University; Master of Arts, University at Buffalo"
Pallonji Mistry,
Eduardo Saverin,"Bachelor of Arts/Science, Harvard University"
Roman Abramovich,"Bachelor of Arts/Science, Moscow State Law Academy"
David Tepper,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh"
Gong Hongjia & family,"Bachelor of Arts/Science, Huazhong University of Science and Technology"
Mike Cannon-Brookes,"Bachelor of Arts/Science, University of New South Wales"
"John Menard, Jr.","Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
Seo Jung-jin,"Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University"
Cheng Yixiao,
Liang Wengen,"Bachelor of Arts/Science, Central South University"
Scott Farquhar,"Bachelor of Arts/Science, University of New South Wales"
Finn Rausing,
Jorn Rausing,
Kirsten Rausing,
Brian Chesky,"Bachelor of Arts/Science, Rhode Island School of Design"
Joseph Lau,
David Duffield,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
Charoen Sirivadhanabhakdi,
