Name,Education
"Herbert Kohler, Jr. & family",Bachelor
Tobi Lutke,
James Dyson,
Mat Ishbia,Bachelor
Savitri Jindal & family,
Friedhelm Loh,
Iskander Makhmudov,Bachelor
Stefano Pessina,Bachelor
Quek Leng Chan,Bachelor
Israel Englander,Bachelor
Charles Ergen,Bachelor
Jim Pattison,
Yao Liangsong,
David Geffen,Uni Drop Out
Yeung Kin-man,
Ding Shizhong & family,Master
Harold Hamm & family,High School
Jim Kennedy,Bachelor
Blair Parry-Okeden,Bachelor
Ding Shijia,
Kim Beom-su,Bachelor
Ian & Richard Livingstone,
Sun Hongbin,Master
Alberto Bailleres Gonzalez & family,
Lam Wai-ying,
Massimiliana Landini Aleotti & family,
Lu Xiangyang,
Wolfgang Marguerre & family,
David Sun,Bachelor
John Tu,Bachelor
Guillaume Pousaz,
Viktor Vekselberg,Bachelor
Jerry Jones,Bachelor
Michael Otto,Doctor
Steven Rales,Master
Sarath Ratanavadi,Bachelor
Tse Ping,
Chan Tan Ching-fen,
David Cheriton,Bachelor
Xavier Niel,
August von Finck,
Zong Qinghou,
Benu Gopal Bangur,Bachelor
Sam Bankman-Fried,Bachelor
Cheng Xue,
Graeme Hart,
Kjeld Kirk Kristiansen,Bachelor
Sofie Kirk Kristiansen,
Thomas Kirk Kristiansen,
Lin Bin,Master
Liu Jincheng & family,Doctor
Shigenobu Nagamori,
Carlos Alberto Sicupira & family,Bachelor
Agnete Kirk Thinggaard,
Anthony von Mandl,Bachelor
Xu Shihui,
Ernesto Bertarelli,Bachelor
Leon Black,Bachelor
Azim Premji,Bachelor
Andrei Skoch & family,University
George Soros,Bachelor
Zheng Shuliang & family,
Marc Benioff,Bachelor
Kuldip Singh & Gurbachan Singh Dhingra,Bachelor
Ann Walton Kroenke,Bachelor
Bubba Cathy,Bachelor
Dan Cathy,Bachelor
Jay Y. Lee,Master
Pan Dong,Master
Hasso Plattner & family,Master
Nassef Sawiris,Bachelor
Kushal Pal Singh,Bachelor
Stanley Kroenke,Master
Niels Peter Louis-Hansen,
Alain Merieux & family,
Andreas von Bechtolsheim & family,Master
Diane Hendricks,High School
Shahid Khan,Bachelor
Nicky Oppenheimer & family,Bachelor
Anthony Bamford & family,Bachelor
Andrew Beal,Uni Drop Out
Dmitry Bukhman,Master
Igor Bukhman,Master
Takahisa Takahara,
Kei Hoi Pang,
Alexei Kuzmichev,Bachelor
John Malone,Doctor
Marijke Mars,Bachelor
Pamela Mars,Bachelor
Valerie Mars,Master
Victoria Mars,Master
Giorgio Armani,Uni Drop Out
Frederik Paulsen,
David Reuben,
Simon Reuben,Uni Drop Out
Alexander Abramov,Bachelor
Rinat Akhmetov,Bachelor
Silvio Berlusconi & family,Doctor
John Grayken,Master
David Green & family,High School
George Roberts,Bachelor
Zhao Yan,Master
Nancy Walton Laurie,Bachelor
Pei Zhenhua,
Ruan Liping,
Ruan Xueping,
Patrick Soon-Shiong,Master
Antonia Ax:son Johnson & family,Master
"Ernest Garcia, III.",Bachelor
George Lucas,Bachelor
Vicky Safra,
Zhang Jindong,Bachelor
Laurent Dassault,Associate
Thierry Dassault,
Marie-Hélène Habert,Master
Henry Kravis,Bachelor
Lai Meisong,
Sandra Ortega Mera,
Pham Nhat Vuong,
David Shaw,Doctor
Rocco Commisso,Bachelor
Michael Kadoorie,
Bernard Marcus,Bachelor
Manuel Villar,
Christy Walton,
Wang Zhenhua,Master
Carl Bennet,Master
Rahel Blocher,
Johann Graf,
Ralph Lauren,Uni Drop Out
Li Hua,
Magdalena Martullo-Blocher,
Stewart and Lynda Resnick,
Johann Rupert & family,
Safra siblings,
Anthony Wood,Bachelor
Gang Ye,Bachelor
Igor Altushkin,Bachelor
Bajaj brothers,
Juan Francisco Beckmann Vidal & family,
Alexandre Behring,Master
Vincent Bolloré & family,Bachelor
Gustaf Douglas,Master
Terry Gou,University
"Paul Tudor Jones, II.",Bachelor
Richard Kinder,Bachelor
Ludwig Merckle,
Stephen Ross,Master
Eli Broad,Bachelor
Jim Davis & family,Bachelor
Guo Guangchang,Bachelor
Robert Kraft,Bachelor
Murali Divi & family,
Huang Chulong,
Li Jianquan & family,
Shi Yonghong & family,
Wee Cho Yaw,
Erich Wesjohann & family,
Aloys Wobben,Bachelor
Micky Arison,Uni Drop Out
Jean-Michel Besnier,
Marie Besnier Beauvalot,
Kwon Hyuk-bin,Bachelor
Li Haiyan,
Fredrik Lundberg,Bachelor
Hiroshi Mikitani,Master
Dmitry Rybolovlev,MD
Reinhold Schmieding,Bachelor
Francis Choi,
Bruce Kovner,Bachelor
Wang Wenjing,Bachelor
Zeng Fangqin,
Brian Armstrong,Bachelor
Chu Mang Yee & family,
Denise Coates,
Gopikishan Damani,
James Goodnight,Bachelor
Antti Herlin,
Liu Yongxing,
Sri Prakash Lohia,Bachelor
John Overdeck,Bachelor
Prajogo Pangestu,
Horst Julius Pudwill,Master
David Siegel,Uni Drop Out
Ronda Stryker,Bachelor
Georg Stumpf,
Pauline MacMillan Keinath,
Wang Yusuo & family,Bachelor
Dennis Washington,High School
Rahul Bajaj,Master
Ashwin Dani & family,Bachelor
Andreas Halvorsen,Master
Andrei Kozitsyn,Bachelor
Axel Oberwelland,
Shi Yuzhu,Master
Tsai Eng-meng,
Murat Ulker,Bachelor
Wang Junlin,
Wang Ning & family,
You Xiaoping,
Arthur Blank,Bachelor
James Chambers,Bachelor
Jiang Bin,Bachelor
Jason Jiang,Bachelor
Mitchell Rales,Bachelor
Katharine Rayner,
Margaretta Taylor,
Stef Wertheimer & family,
Mike Adenuga,Master
Charles Dolan & family,Uni Drop Out
Marcos Galperin,Master
Huang Li,Master
Law Kar Po,
Li Wa,Bachelor
Idan Ofer,
Qian Dongqi & family,Master
Odd Reitan & family,
Henry Samueli,Bachelor
Les Wexner & family,Bachelor
Dannine Avara,
Juergen Blickle,
Robert Brockman,Bachelor
Mong-Koo Chung,Bachelor
Dulce Pugliese de Godoy Bueno,Doctor
Daniel Dines,Bachelor
Scott Duncan,University
Judy Faulkner,Bachelor
Guenther Fielmann & family,
Milane Frantz,Master
Frits Goldschmeding,Doctor
Andrei Guriev & family,Master
Jane Lauder,Bachelor
Martin Lorentzon,
Isaac Perlmutter,
Jeff Skoll,Master
Robert F. Smith,Master
John A. Sobrato & family,Bachelor
Ronald Wanek,High School
Randa Duncan Williams,Bachelor
Hansjoerg Wyss,Master
Chen Fashu,University
Chen Rui,
Christopher Hohn,Master
Lin Jianhua & family,
Maria Asuncion Aramburuzabala & family,Bachelor
Chan Laiwa & family,Doctor
George Kaiser,Bachelor
Ananda Krishnan,Master
Douglas Leone,Master
Li Chunan,
Li Ping,
William Li,
Augusto & Giorgio Perfetti,
Meg Whitman,Master
Neil Bluhm,Doctor
Andrew Currie,Bachelor
Tom Gores,Bachelor
Michel Leclercq & family,
Michael Moritz,Bachelor
Nicolas Puech,
John Reece,Bachelor
Emanuele (Lino) Saputo & family,High School
Fred Smith,
Teh Hong Piow,Bachelor
Rene Benko,
Jack Dangermond,Bachelor
Stanley Druckenmiller,Bachelor
Tamara Gustavson,Bachelor
Jian Jun,Master
Kwee brothers,
Clive Calder,
Hasmukh Chudgar & family,
Dagmar Dolby & family,Bachelor
Dong Wei,
Ken Fisher,Bachelor
Ivan Glasenberg,Master
He Xiaopeng,
Sumet Jiaravanon,
Karel Komarek,University
Ronald Lauder,Bachelor
Mu Rongjun,Bachelor
J. Christopher Reyes,Bachelor
Jude Reyes,Bachelor
Kjell Inge Rokke,
"Edward Roski, Jr.",Bachelor
Alexandra Schoerghuber,
Shu Ping,
Christoph Zeller,
An Kang,Bachelor
Rainer Blickle,
Jaran Chiaravanont,
Alceu Elias Feldmann,
Montri Jiaravanont,
"Henry Nicholas, III.",Bachelor
Terrence Pegula,Bachelor
Carrie Perrodo & family,
Harry Stine,
Pyotr Aven,Ph.D
Kapil & Rahul Bhatia,Bachelor
Cao Renxian,
Barry Lam,Bachelor
Carlos Rodriguez-Pastor,Master
Shen Guojun,Master
Luiza Helena Trajano,
Yao Zhenhua & family,
Yu Yong,
Sam Zell,Bachelor
John Brown,Bachelor
Giuseppe De'Longhi & family,Bachelor
Frank Lowy,
Joe Mansueto,Bachelor
Akio Nitori,
Gary Rollins,Bachelor
Ruan Hongliang & family,
Teddy Sagi,
Neil Shen,Bachelor
David Velez,Master
Wong Man Li,
Robert Bass,Master
Pierre Chen,Bachelor
Mahendra Choksi & family,Bachelor
Gustavo Denegri,
Reed Hastings,Bachelor
Michael Herz,
Wolfgang Herz,
Patrick Lee,
Lee Yeow Chor & Yeow Seng,
Theo Mueller,
Wu Guanjiang & family,
Bernard Broermann,Master
Jason Chang,Bachelor
Joshua Harris,Master
Vikram Lal & family,
Lin Xiucheng & family,Bachelor
Pankaj Patel,Bachelor
"Enrique Razon, Jr.",
"Walter Scott, Jr. & family",Bachelor
Charles Simonyi,Doctor
Kate Wang,Master
Daniel Ziff,Bachelor
Dirk Ziff,Bachelor
Robert Ziff,Doctor
Stephen Bisciotti,Bachelor
Chen Dongsheng,
Charles B. Johnson,Bachelor
Marc Ladreit de Lacharriere,
Joe Lewis,
Lin Li,Bachelor
Karen Pritzker,Bachelor
Abdulsamad Rabiu,
Mark Scheinberg,Uni Drop Out
Howard Schultz,Bachelor
Yasumitsu Shigeta,Uni Drop Out
Thomas Siebel,Bachelor
Peter Thiel,Bachelor
Chip Wilson,Bachelor
Zhang Fan,
Pierre Bellon & family,
Richard Branson,hs dropout
Huang Yi,Bachelor
Bidzina Ivanishvili,
"Edward Johnson, IV.",Bachelor
Elizabeth Johnson,Bachelor
Ted Lerner & family,Associate
Lin Shu-hong,University
Yuri Milner,Bachelor
Issad Rebrab & family,
Thomas Schmidheiny,Doctor
Chairul Tanjung,MD
Alan Trefler,Associate
Radovan Vitek,Master
Frank Wang,Bachelor
Wang Xicheng & family,
Wang Zhendong,Bachelor
"John, Alan & Bruce Wilson",
M.A. Yusuff Ali,
Maria Fernanda Amorim & family,
Dona Bertarelli,
Hong Jie,
Nathan Kirsh,Bachelor
Ken Langone,Bachelor
Michael Pieper,Master
Richard Schulze,High School
Eric Smidt,
Tim Sweeney,
Tang Shing-bor,
Oleg Tinkov,University
Mark Walter,Bachelor
